Speaker,Umineko Project (UP)
{f:5:Bernkastel},"""......Erika, Dlanor."""
Furudo Erika,"""Yes, my master."""
Dlanor,"""You {f:5:called}?"""
{f:5:Bernkastel},"""......I want you two to stay in this fragment......and explain everything in the remaining first through fourth games. That pitiful transient witch no longer exists to assert her witch illusions. Expose the naked truth with extreme prejudice."""
Furudo Erika,"""*giggle*! Leave it to me, my master. There is no mystery that Furudo Erika cannot solve."""
{f:5:Bernkastel},"""......Of course. That's why you're my piece, my double. *giggle*giggle*giggle*!"""
,"{f:5:Bernkastel} wore a massive...and horrible smile, which Erika shared."
,"......{f:5:Beatrice}'s witch illusions would disappear, and the results of all of the previous games would be painted over."
,"It had been crushed in every way possible, ......and only the naked truth remained."
,"To Erika, such a weak truth might as well have been fish on a chopping board..."
Furudo Erika,"""All four prior games...can be explained as either Natsuhi's crimes or freak exceptions. I won't let anyone talk about them as the crimes of some witch called {f:5:Beatrice} again. I'll start compiling it together at once and present you a first‐rate tale."""
{f:5:Bernkastel},"""*giggle*...... You mustn't leave even a single fragment of Beato's Legend of the Witch behind. The rumors among the servants, the way people talked about unexplained events as though a witch was the cause, the witch illusions used alongside the illusion of Kinzo. ......Deal with all of them completely."""
Furudo Erika,"""Of course. I'll get to it right away. ......We currently have the furniture in custody. We're hurrying to identify their vessels."""
,The Seven Sisters of Purgatory had already been taken into custody.
,Those noisy sisters who had served Beato now faced nothing but denial.
,"What sort of fantasy were they based upon which allowed them to ""manifest""?"
,......Everything would be exposed......and denied.
Dlanor,"""Eiserne Jungfrau has already begun its {f:5:investigation}. Our most recent findings indicate that there is a high probability they were produced during the 1960's in New York or somewhere {f:5:nearby}. An aide has already been sent to the {f:5:location}."""
{f:5:Bernkastel},"""The 1960's? The Seven Sisters of Purgatory are <Made in USA>? Pfft, *giggle*giggle*giggle*...... Even though they bragged about being furniture connected with King Solomon and serving a thousand year old witch, they're a total sham. So what are they...?"""
Furudo Erika,"""According to the report, there's this group of big‐time swindlers......who make money by selling high‐priced imitation goods to rich fans of the occult."""
Dlanor,"""The deceived millionaires resell the articles with invented histories, and this may have caused the items to become falsely deified among {f:5:collectors}. We are rushing to find confirmation and further {f:5:details}."""
Furudo Erika,"""Ushiromiya Kinzo was apparently a big customer of theirs who'd pay exorbitant sums for the most blatantly fake objects."""
{f:5:Bernkastel},"""......*giggle*giggle*, ...ahahahahahahahaha...!! And that's what the Seven Sisters of Purgatory really are...? That's ridiculous, aha{0}ha{0}ha{0}hah{0}hha{0}ha{0}ha{0}ha{0}hha{0}ha{0}hahha!! A total sham, just what I'd expect from one of Beato's witch illusions."""
Furudo Erika,"""So despite calling themselves the seven deadly sins, they're actually cheap, fake souvenirs. ......Of course, from the first time I saw them, I figured they were nothing more than paperweights sold at some shady souvenir shop."""
{f:5:Bernkastel},"""*giggle*giggle*!! Paperweights...! Ahhah{0}hah{0}ha{0}ha{0}ha{0}ha{0}ha{0}ha{0}ha{0}ha{0}ha{0}haha!! Have you confronted the Seven Sisters with that truth yet?"""
Dlanor,"""No, not {f:5:yet}."""
Furudo Erika,"""They still seriously believe...that they were created by a great magician over a thousand years ago. ......I can't wait to thrust the truth and perfect evidence in their faces...and let them know that they're mere paperweights worth less than 30 US dollars."""
{f:5:Bernkastel},"""I wonder what kind of expressions will register on their faces as they lose all hope? ......*giggle*, I can't wait. Call me when you do it. I'll come to watch, with some of the best black tea and dried plums."""
,"Beato's witch illusions had already been seen through, and it had been proven that every one of them was simply the result of a {y:0:Human}{n:0:human} fantasy."
,What kind of fantasies created them and what was their basis?{n}The illusions would be confronted with this perfectly proven truth...
,"......And at that time, they would disperse like smoke and be completely annihilated."
,This was called......“execution”.
Dlanor,"""......An execution is not a {f:5:show}. As a general rule, it is not open to the {f:5:public}."""
Furudo Erika,"""This is an inspection by the great Lady {f:5:Bernkastel}, member of the Senate, so she can observe that the Great Court is performing its duties satisfactorily. Do you, a mere Inquisitor, intend to obstruct this...?"""
{f:5:Bernkastel},"""Yes, that's right. I'm just observing as a representative of the Senate to make sure you observe the proper procedures when you carry out your work. ......*giggle*giggle*giggle*."""
Furudo Erika,"""We are currently preparing to take {f:5:Virgilia}, Ronove, and Gaap into custody as well. The Chiester Sisters Imperial Guards are conducting that investigation."""
Furudo Erika,""".........Of course, after that is done, we will then detain and execute the three Chiester Sisters, who are also connected to {f:5:Beatrice}."""
{f:5:Bernkastel},"""Dlanor, what is the true nature of the Chiester Sisters?"""
Dlanor,"""......We believe there is a high likelihood that their vessels are weapons used in the {f:5:crimes}. My senior aide, Gertrude, has formed a dedicated {f:5:team}. We are currently investigating their individual {f:5:cases}."""
Furudo Erika,"""I'm looking forward to the Chiester Sisters' execution too...! One at a time? Or all of them at once?"""
{f:5:Bernkastel},"""No one's stupid enough to empty the entire can of tea leaves into the pot at once. You've got to enjoy it slowly, one spoonful at a time."""
Furudo Erika,"""*giggle*giggle*! Exactly. Let's hold their executions on consecutive days. One for each witch and piece of furniture. I'll present you with a new execution show every day."""
{f:5:Bernkastel},"""Wonderful. .........After all, there really are a lot of them. Looks like we'll be able to enjoy ourselves for a full two weeks."""
{f:5:Bernkastel},"""......Maybe we could let them decide among themselves which of them to execute first. Heh{0}eh{0}eh{0}eh{0}eh{0}eh{0}eheh! Make sure you think up something great for the execution concepts. ......I'd like to enjoy executions both old and new from East and West every day."""
Dlanor,"""......The rules state that the method of execution is to follow Great Court {f:5:regulations}."""
Furudo Erika,"""Leave it to me, my master. I will most certainly prepare you a fascinating execution show!"""
{f:5:Bernkastel},"""I expect quartering at the very least."""
Furudo Erika,"""Of course. I shall make a list of the highest forms of execution from countries across the world from Europe to Asia, which were used by kingdoms East and West for nothing less than treason against the king!"""
{f:5:Bernkastel},"""......I'd like to propose an execution method myself. ...Pondering that will be the perfect way to relax on those sleepless nights. ......*giggle*. I'll come up with an idea and send you a letter soon."""
Furudo Erika,"""Certainly, my master. Then we'll use the {f:5:Bernkastel}‐style execution for the grand finale. ......At the very, very end, when all of the illusions have been broken and Beato's system of magic has been completely crushed, ...I shall present you with the finest execution you desire...at the execution of {f:5:Beatrice}...!"""
{f:5:Bernkastel},"""Thank you, Erika. ......Thanks to you, it seems I'll be able to forget the pain of my illness for a little while...... *giggle*giggle*, hehe{0}he{0}he{0}heh{0}ha{0}ha{0}ha{0}ha{0}ha{0}ha{0}ha{0}ha{0}haha! You're just perfect. My piece, my double, ......and my precious daughter."""
Furudo Erika,"""Y‐......your words are too good for me...! My master...!!"""
{f:5:Bernkastel},"""Erika, I will give you honor and a reward. ......Beato's greatest symbol, the portrait in the reception hall. Take it down, smash it to make firewood, bake a cake over that fire and eat it. Then you have my permission to put your own portrait up in the empty frame."""
Furudo Erika,"""...Th‐......thank you very much...! It is the greatest of honors...!"""
