Speaker,Umineko Project (UP)
Ushiromiya Battler,"""Gyaaaaaaaaaaaaaahhhhh!! Gonna fall, gonna fall, gonna faaa{-}a{-}a{-}a{-}a{-}a{-}a{-}aalllll!!!"""
,"Once again, Captain Kawabata's ferryboat to Rokkenjima cut across the sea in perfect form."
,"Yes. The tale of October 4th, 1986, always begins with Battler's screams."
,"But this time, one thing was different.{n}There was another person's yell alongside Battler's."
,Battler was screaming.{n}The other was...laughing?
Ushiromiya Battler,"""Gonna fall, gonna fall, gonna faaaaaaallll!! Nooo{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}ooo...!!"""
Ushiromiya Ange,"""Fun, fun, fuuuuuunnn!! *giggle*, *giggle*giggle*giggle*!!"""
Ushiromiya Maria,"""Battler looks funny, Battler looks funny!! *giggle*, *giggle*giggle*!!"""
,"Alongside the big brother, who was grasping at the handrail and screaming in a way that no one his age should, was the little sister, also grasping the handrail and jumping about like it was a ride at an amusement park. George and the others just couldn't hold in their laughter at the difference."
Ushiromiya George,"""Even after six years, Battler‐kun's still just as energetic as I remember him."""
Ushiromiya Jessica,"""Ange and Maria look more lively than usual this year, too."""
Ushiromiya George,"""Could this be the first time we've had all five cousins together?"""
Ushiromiya Jessica,"""Oh, is it? Well, then, yeah! This year's gonna be more lively than ever before."""
Ushiromiya Battler,"""G‐George‐anikiiiiiiiii!! Don't you think this is way too fast?! I'm begging you, ask the captain to slow down before it's too laaaate!!"""
Ushiromiya Maria,"""Kihiha{0}ha{0}ha{0}ha{0}ha{0}ha{0}haha! You call this fast? Battler, you're a wimp! You're a wimp!"""
Ushiromiya Ange,"""I wanna go faster!! Faster, faster! *giggle*giggle*!!"""
Ushiromiya Battler,"""Any faster than this, and your onii‐chan's gonna fall right off the boat!! Is that what you want?! I'm gonna faa{-}a{-}a{-}a{-}a{-}a{-}a{-}a{-}aaalllll!!!"""
Ushiromiya George,"""Hahaha. Well, the votes have been counted, and Battler‐kun's proposal to lower the speed is—"""
Ushiromiya Jessica,"""Rejected, it looks like! Aha{0}ha{0}ha{0}ha{0}ha{0}haha."""
Ushiromiya Ange,"""Look out, Onii‐chan. You're gonna fall, you're gonna fall! Ahha{0}ha{0}ha{0}ha{0}ha{0}ha{0}haha!!"""
Ushiromiya Maria,"""Battler needs to be punished for his cowardice!! Tickle time! Kihihihihiii!!"""
Ushiromiya Battler,"""W‐wait, stop, Maria!! You too, Ange! N‐nooo{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}ooo!!"""
Ushiromiya Kyrie,"""Thank goodness for that. I was worried about Ange's health, but she looks just fine."""
Ushiromiya Rudolf,"""It would've been too sad to leave her behind at home. I'm glad we decided to bring her anyway."""
Ushiromiya Eva,"""Wasn't she very sick shortly before you left?"""
Ushiromiya Kyrie,"""She was all better this morning. Kids can be so incredible sometimes."""
Ushiromiya Hideyoshi,"""I'll bet she's the type to get sick when she's stressed or overexcited! It's not that strange for people like that to get all better when the big day finally comes."""
Ushiromiya Rosa,"""She must really have been looking forward to playing with all five of the cousins together."""
Kumasawa Chiyo,"""Hoh‐hoh‐ho. Just watching them play together makes one feel charged with energy, doesn't it?"""
,The adults smiled as they watched the children play around.
,"Ange had gotten very sick. For a time, everyone had expected that she would be absent, but she had made a miraculous recovery."
,"Thanks in part to her strong desire to join in, she had come along to the family conference with the others."
,And so...
,"For the first time ever, all five cousins were gathered together.{n}October 4th, 1986, became a day like no other."
,The kids dashed up the path leading from the harbor to the rose garden.
,They were probably so charged up that even walking was too boring for them.
Ushiromiya Battler,"""Wahhahahaha! See that?! First pla~ce!"""
,Battler was the first to leap across the finish line that was the entrance to the rose garden.
,"Apparently, he was trying to make up for the dishonor he had suffered on the boat by proving his superiority on land."
,"A short while later, Ange and Maria reached him in a dead heat."
Ushiromiya Maria,"""I'm second!! I'm faster than Ange, uu‐uu‐uu!!"""
Ushiromiya Ange,"""No, you aren't! Maria onee‐chan cheated!! I'm second!!"""
,"The three‐year gap between Ange and Maria was large, especially since both of them were growing kids."
,"It was only natural that Maria was faster, but Ange seemed to be complaining about a shoulder bump at the start line."
,"Maria onee‐chan cheated, so she gets last place! Teacher always says you get last place if you cheat! ...Protested Ange."
Ushiromiya Jessica,"""Come on, no need to fight. Geez, you're both so fast...!"""
Ushiromiya George,"""It's been a long time since I last ran like that...... Ah, the breeze feels so nice."""
Ushiromiya Battler,"""Are you out of shape, George‐aniki? You know, anyone who runs the daily ""race to beat the bell"" gets strong legs automatically."""
Ushiromiya George,"""In other words, being a fast runner is proof that you sleep in."""
Ushiromiya Ange,"""Onii‐chan always sleeps in! He didn't wake up today either, so I had to wake him up! Right?!"""
Ushiromiya Battler,"""A stomp followed by a flying elbow. And that body press from the top rope at the end there just about finished me."""
Ushiromiya Jessica,"""After a wake‐up like that, it sounds like you'd never get up again..."""
Ushiromiya Maria,"""Sounds fun! I wanna do it too, I wanna do it too!"""
Ushiromiya Ange,"""I'll bet Onii‐chan sleeps in tomorrow! We'll wake him up together this time, okay?! *giggle*giggle*!"""
Ushiromiya George,"""......I'd recommend against staying up too late tonight."""
,"Finally, the adults came into sight."
,"The cousins waved at them, urging them to hurry up.{n}Ange and Maria were so excited that they could hardly wait."
,Just by having all five cousins together...{n}Just by adding Ange into the group...
,Look at how energetic this day has become.
Shannon,"""Excuse me. The family members have arrived."""
Ushiromiya Krauss,"""They made it here safely, then? I must let Father know."""
Ushiromiya Natsuhi,"""Are they all in the guesthouse now?"""
Kanon,"""Yes. They will come here to meet you after they have set down their luggage."""
Ushiromiya Natsuhi,"""Understood. Kanon, please guide everyone. Shannon, quickly get some tea ready."""
,"""""As you wish, Madam."""""
Ushiromiya Krauss,"""Father. It's me, Krauss. It's about time for you to get ready."""
,"After Krauss knocked on the door, it opened from the inside."
Ushiromiya Krauss,"""Oh, Doctor Nanjo. How is Father doing?"""
Nanjo Terumasa,"""No need to worry. He's changing as we speak. I think he's just a little nervous."""
Ushiromiya Kinzo,"""Who are you calling nervous?!! Nnhh, I cannot find my favorite One‐winged necktie pin! How many times must I tell Natsuhi? My possessions must never be moved without my approval...!"""
,"Apparently, Kinzo had been in a panic for some time over the simple matter of choosing a tie and tie pin."
,"Kinzo, who valued the dignity of the family head above all else, always made a big deal about being appropriately attired."
Ushiromiya Krauss,"""......Will he make it in time?"""
Nanjo Terumasa,"""Do you think you could give us a little longer? We'll come down as soon as he's ready."""
Ushiromiya Krauss,"""Understood. I'm counting on you, Doctor Nanjo. ......Father. That necktie pin you have there looks splendid on you as well."""
Ushiromiya Kinzo,"""The necktie pin ""I have there""?!! Is {i:that} your suggestion?!! The family conference is held but once a year! Mgggh, there shall be no compromise! I must have that specific pin!! Where is it, where, where?!!"""
Nanjo Terumasa,"""Kinzo‐san, you already looked in that drawer five seconds ago...... Besides, you own several splendid necktie pins. It would be stylish to select one befitting this auspicious occasion."""
Ushiromiya Kinzo,"""Hmmmmmm, you think so? So, I don't need to use the One‐winged Eagle pin...? Hmmmmm......"""
,"As Krauss watched Nanjo calm Kinzo down, he began to wonder why this doctor wasn't his mother."
,"Well, it was always like this."
,"He always makes a fuss when no one's looking, but when the time comes, he makes his decision with pride."
,"After asking Nanjo to come down by lunch at the latest, Krauss snuck out of the study..."
Gohda Toshiro,"""What do you think? A splendid aroma, is it not?! And a unique one, as well!"""
Shannon,"""I've never had pumpkin tea before... That little touch of sweetness makes it delicious."""
,"Before serving the tea to the guests, Gohda served some to Shannon."
,"Until then, Shannon had thought it would be outrageous for a servant such as herself to drink the same thing as the family and their guests."
,"However, according to Gohda, that kind of thinking was a mistake."
